val_original/ILSVRC2012_val_00015059.JPEG 116,444,307,13
train/n02422106/n02422106_1430.JPEG 6,5,138,138,77
train/n01440764/n01440764_13739.JPEG 179,181,345,246,0
train/n01440764/n01440764_4260.JPEG 105,143,373,264,0
train/n01440764/n01440764_5003.JPEG 65,209,356,369,0
train/n01440764/n01440764_9890.JPEG 119,56,352,163,0
train/n02051845/n02051845_1071.JPEG 257,97,415,255,46
train/n02051845/n02051845_1935.JPEG 155,85,357,219,46
train/n02051845/n02051845_2627.JPEG 8,75,329,498,46
train/n01558993/n01558993_14302.JPEG 320,141,352,182,4
train/n01558993/n01558993_16414.JPEG 56,120,295,327,4
train/n01558993/n01558993_41088.JPEG 291,100,319,134,4 84,96,117,134,4 307,168,323,195,4 3,270,30,299,4
train/n02488291/n02488291_6556.JPEG 214,118,278,308,88
train/n02488291/n02488291_1087.JPEG 74,8,436,315,88
train/n02488291/n02488291_4451.JPEG 52,131,297,367,88
train/n01735189/n01735189_9215.JPEG 1,25,308,239,22
val_original/ILSVRC2012_val_00002679.JPEG 1,1,443,498,22
train/n01735189/n01735189_16782.JPEG 57,19,432,327,22
val_original/ILSVRC2012_val_00010275.JPEG 0,0,499,309,22
train/n01883070/n01883070_9063.JPEG 80,64,281,240,38
train/n01883070/n01883070_9417.JPEG 71,94,304,240,38
train/n01883070/n01883070_133.JPEG 58,13,479,375,38
train/n01797886/n01797886_11426.JPEG 105,70,499,332,26
train/n01797886/n01797886_9823.JPEG 56,21,288,396,26
val_original/ILSVRC2012_val_00022992.JPEG 93,47,350,222,26
train/n01797886/n01797886_2810.JPEG 158,72,280,226,26
train/n02483362/n02483362_10887.JPEG 79,15,228,332,87 201,25,339,330,87 222,52,427,332,87
train/n02483362/n02483362_5659.JPEG 25,22,371,480,87
train/n02483362/n02483362_705.JPEG 113,30,428,313,87
train/n02483362/n02483362_10073.JPEG 46,75,479,402,87
train/n01843065/n01843065_4182.JPEG 53,110,270,420,31
train/n01843065/n01843065_757.JPEG 104,132,285,282,31
train/n01843065/n01843065_4276.JPEG 72,106,396,498,31
train/n01644373/n01644373_2299.JPEG 117,71,392,313,11
val_original/ILSVRC2012_val_00032917.JPEG 172,71,471,321,11
train/n01644373/n01644373_2732.JPEG 87,55,427,329,11
train/n01756291/n01756291_24387.JPEG 50,150,313,332,25
val_original/ILSVRC2012_val_00047061.JPEG 30,58,406,246,25
train/n01756291/n01756291_16495.JPEG 106,206,733,390,25
val_original/ILSVRC2012_val_00024795.JPEG 151,109,463,275,25
train/n02120505/n02120505_7594.JPEG 155,157,321,258,57
train/n02120505/n02120505_8716.JPEG 198,64,307,365,57
train/n02120505/n02120505_16099.JPEG 60,66,398,498,57
train/n01592084/n01592084_5992.JPEG 231,143,499,330,7
train/n01592084/n01592084_6382.JPEG 178,154,278,216,7
train/n01592084/n01592084_7213.JPEG 1,2,374,325,7
train/n01871265/n01871265_3403.JPEG 1,5,473,329,35
train/n01694178/n01694178_2564.JPEG 151,66,430,331,16
train/n01694178/n01694178_10127.JPEG 30,136,446,283,16
train/n01694178/n01694178_13624.JPEG 1,75,466,307,16
train/n02410509/n02410509_1864.JPEG 212,133,443,361,76
train/n02410509/n02410509_1040.JPEG 228,228,830,588,76
train/n02410509/n02410509_318.JPEG 52,88,372,295,76
train/n01632458/n01632458_1030.JPEG 84,22,490,307,10
train/n02494079/n02494079_5316.JPEG 56,22,129,132,93
train/n02494079/n02494079_3960.JPEG 1,52,276,498,93
train/n02494079/n02494079_3337.JPEG 98,83,499,302,93
train/n02494079/n02494079_1525.JPEG 12,60,354,241,93
train/n02006656/n02006656_195.JPEG 73,93,393,374,39
train/n02006656/n02006656_9634.JPEG 53,90,358,498,39
train/n02006656/n02006656_7285.JPEG 123,135,223,234,39 221,153,355,226,39
train/n02006656/n02006656_5073.JPEG 70,21,308,323,39
train/n02130308/n02130308_17727.JPEG 143,14,498,331,65
train/n02130308/n02130308_21628.JPEG 199,115,295,299,65
val_original/ILSVRC2012_val_00026943.JPEG 7,4,597,447,65 303,680,521,966,65
train/n01728920/n01728920_6085.JPEG 165,102,498,209,21
train/n01728920/n01728920_14.JPEG 130,106,339,220,21
train/n01601694/n01601694_1560.JPEG 108,65,446,258,8
train/n01601694/n01601694_5237.JPEG 197,56,434,328,8
train/n01601694/n01601694_7781.JPEG 113,160,309,282,8
train/n01695060/n01695060_11958.JPEG 1,65,494,373,17
train/n01695060/n01695060_13945.JPEG 5,25,297,448,17
train/n01695060/n01695060_12745.JPEG 111,73,499,333,17
train/n02643566/n02643566_7685.JPEG 4,6,457,345,99
train/n02128757/n02128757_6033.JPEG 87,82,340,342,61
train/n02128757/n02128757_5935.JPEG 187,1,401,432,61
train/n02128757/n02128757_16774.JPEG 142,1,379,279,61
train/n02128757/n02128757_3622.JPEG 1,1,443,355,61
train/n02492035/n02492035_1771.JPEG 1,19,430,374,92
train/n02492035/n02492035_8140.JPEG 73,57,401,498,92
val_original/ILSVRC2012_val_00004842.JPEG 184,92,323,351,92
train/n01537544/n01537544_4577.JPEG 53,95,309,274,3
train/n01537544/n01537544_1439.JPEG 143,66,429,260,3
train/n01537544/n01537544_658.JPEG 1,53,338,498,3
train/n01537544/n01537544_828.JPEG 300,148,381,315,3
train/n02514041/n02514041_4099.JPEG 21,131,493,215,96
train/n02514041/n02514041_2023.JPEG 71,103,399,202,96
train/n02408429/n02408429_11593.JPEG 84,111,499,331,75
train/n02408429/n02408429_5478.JPEG 148,265,246,324,75 271,225,281,243,75 353,247,373,275,75
train/n02408429/n02408429_3995.JPEG 52,1,450,377,75
train/n02408429/n02408429_1155.JPEG 1,146,351,374,75
train/n02480495/n02480495_14090.JPEG 82,45,199,242,85
train/n02480495/n02480495_6932.JPEG 208,131,276,289,85
train/n02480495/n02480495_16109.JPEG 1,1,325,209,85
train/n02085620/n02085620_5085.JPEG 1,1,288,374,48
train/n02086646/n02086646_170.JPEG 18,38,245,306,48
train/n02086079/n02086079_30142.JPEG 46,111,518,466,48
train/n02086079/n02086079_1005.JPEG 16,12,249,178,48
train/n02443484/n02443484_3496.JPEG 33,63,481,435,82
train/n02443484/n02443484_9667.JPEG 201,114,499,223,82
train/n02443484/n02443484_14317.JPEG 4,5,471,341,82
train/n02027492/n02027492_10286.JPEG 146,59,433,190,44
val_original/ILSVRC2012_val_00034910.JPEG 92,143,352,374,44
train/n02027492/n02027492_3714.JPEG 77,157,334,297,44
train/n02123159/n02123159_7167.JPEG 99,67,428,374,58
train/n02123159/n02123159_178.JPEG 28,13,499,360,58
train/n02123159/n02123159_743.JPEG 18,61,205,183,58
val_original/ILSVRC2012_val_00020140.JPEG 89,204,394,488,58
train/n01695060/n01695060_6984.JPEG 2,39,498,313,17
train/n01695060/n01695060_29094.JPEG 1,78,328,302,17
train/n01797886/n01797886_6996.JPEG 143,56,430,396,26
train/n01797886/n01797886_26842.JPEG 430,350,717,662,26
train/n01753488/n01753488_2726.JPEG 45,65,438,250,24
train/n01753488/n01753488_21358.JPEG 34,100,499,226,24
train/n01871265/n01871265_292.JPEG 40,142,415,397,35
train/n01871265/n01871265_5423.JPEG 117,48,363,314,35
train/n01871265/n01871265_6607.JPEG 64,13,397,272,35
train/n02123159/n02123159_2137.JPEG 206,22,498,353,58
train/n02123159/n02123159_827.JPEG 114,44,498,267,58
train/n01601694/n01601694_7520.JPEG 73,80,397,291,8
train/n01601694/n01601694_2529.JPEG 164,67,306,284,8
train/n02492035/n02492035_15711.JPEG 60,40,412,362,92
train/n02408429/n02408429_10328.JPEG 97,97,377,223,75
train/n01665541/n01665541_5158.JPEG 101,153,358,250,13
train/n01665541/n01665541_4921.JPEG 1,82,369,280,13
train/n02643566/n02643566_2123.JPEG 71,1,499,305,99
train/n02643566/n02643566_2653.JPEG 1,1,499,332,99
train/n02643566/n02643566_2058.JPEG 17,9,457,459,99
train/n01873310/n01873310_2331.JPEG 140,101,445,255,36
val_original/ILSVRC2012_val_00025213.JPEG 47,86,189,175,64 95,72,205,117,64
train/n02129604/n02129604_16393.JPEG 1,10,498,373,64
train/n02120505/n02120505_11424.JPEG 80,109,228,212,57
train/n02120505/n02120505_14135.JPEG 182,144,326,203,57
train/n01694178/n01694178_5584.JPEG 88,62,449,253,16
train/n01694178/n01694178_5570.JPEG 48,1,299,485,16
train/n01537544/n01537544_9184.JPEG 48,55,423,374,3
train/n02457408/n02457408_4278.JPEG 28,2,342,330,84
train/n02457408/n02457408_2767.JPEG 1,18,368,498,84
train/n02457408/n02457408_762.JPEG 151,102,347,216,84
val_original/ILSVRC2012_val_00022105.JPEG 31,73,410,137,47
train/n02027492/n02027492_10106.JPEG 47,61,300,498,44
train/n02027492/n02027492_7274.JPEG 118,71,304,322,44
train/n02443114/n02443114_25932.JPEG 1,155,395,445,81
train/n02443114/n02443114_3956.JPEG 197,18,397,321,81
train/n02443114/n02443114_27844.JPEG 10,62,258,300,81
train/n02443114/n02443114_27579.JPEG 1,20,372,339,81
val_original/ILSVRC2012_val_00005663.JPEG 124,76,495,425,23
train/n01740131/n01740131_15647.JPEG 1,142,369,261,23
train/n01740131/n01740131_10352.JPEG 73,27,441,231,23
train/n01440764/n01440764_3997.JPEG 13,40,494,263,0
train/n02051845/n02051845_29796.JPEG 1,35,499,337,46
train/n02051845/n02051845_8993.JPEG 163,26,245,175,46
train/n02457408/n02457408_10546.JPEG 134,97,283,268,84
train/n01728920/n01728920_814.JPEG 1,1,301,162,21
train/n01728920/n01728920_10761.JPEG 96,156,499,290,21
train/n01728920/n01728920_9059.JPEG 131,56,328,374,21
train/n02443484/n02443484_8528.JPEG 1,135,311,355,82
train/n01740131/n01740131_20521.JPEG 112,101,392,176,23
train/n01740131/n01740131_11.JPEG 1,196,465,374,23
train/n02128757/n02128757_10985.JPEG 37,8,317,498,61
train/n02128757/n02128757_176.JPEG 1,18,393,275,61
val_original/ILSVRC2012_val_00030893.JPEG 81,79,498,374,48
train/n01735189/n01735189_14144.JPEG 57,57,404,267,22
train/n01735189/n01735189_6751.JPEG 1,86,424,252,22
train/n02480495/n02480495_2781.JPEG 14,57,430,356,85
train/n02129604/n02129604_13525.JPEG 52,108,399,282,64
train/n02006656/n02006656_514.JPEG 30,55,343,383,39
train/n02006656/n02006656_7792.JPEG 174,60,377,280,39
train/n02111129/n02111129_2088.JPEG 159,120,427,333,51
train/n02111129/n02111129_970.JPEG 126,20,248,206,51
train/n01756291/n01756291_9631.JPEG 15,1,276,293,25
val_original/ILSVRC2012_val_00022278.JPEG 252,49,350,246,36
train/n02129165/n02129165_24007.JPEG 38,1,359,249,63
train/n02494079/n02494079_3673.JPEG 171,147,499,286,93
train/n02494079/n02494079_152.JPEG 135,138,274,332,93
val_original/ILSVRC2012_val_00010862.JPEG 81,65,499,399,79 0,1,90,138,79 0,262,245,398,79
train/n01843065/n01843065_1433.JPEG 110,57,308,458,31
train/n01843065/n01843065_769.JPEG 61,46,302,498,31
train/n02488291/n02488291_6042.JPEG 79,154,397,514,88
val_original/ILSVRC2012_val_00007010.JPEG 134,144,376,310,88 363,70,499,214,88 0,165,93,379,88 266,123,338,227,88
val_original/ILSVRC2012_val_00045132.JPEG 3,11,413,373,97
train/n01883070/n01883070_5433.JPEG 1,157,186,278,38 242,183,403,320,38
train/n02480855/n02480855_19632.JPEG 1,1,499,332,86
train/n02480855/n02480855_16263.JPEG 1,1,326,333,86
train/n02480855/n02480855_4508.JPEG 1,75,447,332,86
train/n02410509/n02410509_7495.JPEG 1,1,378,351,76
train/n02410509/n02410509_1004.JPEG 77,84,287,274,76
train/n01582220/n01582220_8452.JPEG 53,49,465,346,6
train/n02514041/n02514041_1518.JPEG 96,38,431,374,96
train/n02514041/n02514041_6436.JPEG 1,69,206,154,96
train/n02514041/n02514041_4170.JPEG 27,158,537,413,96
train/n01592084/n01592084_607.JPEG 30,11,490,288,7
train/n01558993/n01558993_10575.JPEG 236,44,414,292,4
val_original/ILSVRC2012_val_00049776.JPEG 57,112,300,403,4
train/n02480855/n02480855_17901.JPEG 96,42,216,446,86
train/n02480855/n02480855_3806.JPEG 110,137,282,450,86
train/n02397096/n02397096_892.JPEG 46,1,397,332,73
train/n02397096/n02397096_7742.JPEG 26,89,384,275,73
train/n01644373/n01644373_8343.JPEG 88,166,296,296,11
train/n01632458/n01632458_1374.JPEG 56,29,469,325,10
train/n01632458/n01632458_9062.JPEG 67,84,491,258,10
val_original/ILSVRC2012_val_00005565.JPEG 91,1,331,498,86
val_original/ILSVRC2012_val_00041877.JPEG 68,9,303,359,58 13,321,44,379,58
train/n02123159/n02123159_3159.JPEG 241,14,499,355,58
train/n02129604/n02129604_8374.JPEG 1,1,499,374,64
train/n01694178/n01694178_5430.JPEG 15,1,416,316,16
train/n01694178/n01694178_1358.JPEG 31,26,295,141,16
train/n01797886/n01797886_18389.JPEG 161,102,370,306,26
train/n01797886/n01797886_7783.JPEG 17,156,203,302,26 305,153,452,325,26
train/n01644373/n01644373_13386.JPEG 279,54,485,301,11
train/n01644373/n01644373_6865.JPEG 59,158,223,508,11
val_original/ILSVRC2012_val_00038959.JPEG 206,147,364,299,11
train/n01632458/n01632458_105.JPEG 1,7,243,195,10
train/n01632458/n01632458_902.JPEG 186,107,440,289,10
train/n01883070/n01883070_2410.JPEG 109,1,499,299,38
train/n01883070/n01883070_2094.JPEG 271,88,485,315,38 94,67,387,285,38
train/n02443114/n02443114_15548.JPEG 242,94,394,238,81 13,109,218,299,81 245,54,398,238,81
train/n02526121/n02526121_8364.JPEG 130,10,380,224,97
train/n01601694/n01601694_5418.JPEG 66,79,376,328,8
train/n01601694/n01601694_12163.JPEG 192,56,319,244,8
train/n01558993/n01558993_6833.JPEG 297,89,443,280,4
train/n01558993/n01558993_7872.JPEG 47,63,303,455,4
train/n01537544/n01537544_6129.JPEG 91,113,499,374,3
train/n01537544/n01537544_1632.JPEG 1,28,268,257,3
train/n01537544/n01537544_4904.JPEG 150,53,357,333,3
train/n02643566/n02643566_1808.JPEG 59,28,434,335,99
train/n02410509/n02410509_39651.JPEG 51,50,373,274,76
train/n02410509/n02410509_2289.JPEG 50,110,499,374,76
train/n01665541/n01665541_43424.JPEG 58,12,391,357,13
val_original/ILSVRC2012_val_00000043.JPEG 128,43,420,378,39
train/n02006656/n02006656_5615.JPEG 123,179,215,340,39
train/n02128757/n02128757_1286.JPEG 21,48,498,441,61
train/n02128757/n02128757_14259.JPEG 1,1,499,356,61
train/n02480495/n02480495_345.JPEG 128,59,372,322,85
train/n02480495/n02480495_21334.JPEG 88,16,368,280,85
train/n02480495/n02480495_4308.JPEG 1,2,678,508,85
train/n01582220/n01582220_11479.JPEG 153,46,499,331,6
train/n01582220/n01582220_3591.JPEG 79,29,481,363,6
train/n01582220/n01582220_905.JPEG 66,168,401,283,6
train/n02129165/n02129165_13459.JPEG 63,84,460,276,63
train/n02129165/n02129165_23847.JPEG 32,30,400,386,63 174,66,397,385,63
train/n02129165/n02129165_628.JPEG 1,1,448,572,63
train/n02086240/n02086240_7862.JPEG 43,29,344,374,48
train/n01843065/n01843065_2456.JPEG 83,98,215,346,31
train/n01843065/n01843065_2725.JPEG 73,70,440,325,31
train/n01843065/n01843065_4426.JPEG 66,96,392,405,31
train/n01440764/n01440764_2001.JPEG 46,135,418,300,0
train/n01440764/n01440764_13770.JPEG 74,196,411,373,0
train/n02027492/n02027492_8055.JPEG 99,116,338,282,44
train/n02027492/n02027492_3557.JPEG 175,144,296,215,44
train/n01871265/n01871265_493.JPEG 1,68,331,485,35
train/n02397096/n02397096_9485.JPEG 1,10,440,435,73
train/n02130308/n02130308_21170.JPEG 51,55,283,467,65
train/n02130308/n02130308_2592.JPEG 154,97,499,374,65
train/n01756291/n01756291_17287.JPEG 24,21,485,324,25
train/n01756291/n01756291_18658.JPEG 205,148,480,331,25
train/n02488291/n02488291_3966.JPEG 1,41,419,454,88
train/n02488291/n02488291_7022.JPEG 192,86,285,241,88
train/n02457408/n02457408_1337.JPEG 113,46,397,332,84
train/n02457408/n02457408_1108.JPEG 52,17,125,244,84
train/n02457408/n02457408_8531.JPEG 4,46,371,605,84
val_original/ILSVRC2012_val_00033778.JPEG 1,29,190,212,93
train/n02494079/n02494079_1615.JPEG 39,17,386,272,93
train/n01740131/n01740131_4356.JPEG 131,129,434,329,23
train/n01740131/n01740131_10583.JPEG 58,64,384,300,23
train/n02437616/n02437616_864.JPEG 177,21,350,331,79
train/n02483362/n02483362_1609.JPEG 57,155,265,427,87
train/n02483362/n02483362_8648.JPEG 94,25,390,332,87
train/n02514041/n02514041_2247.JPEG 156,96,439,239,96
train/n02514041/n02514041_2542.JPEG 42,173,486,281,96
train/n01592084/n01592084_3972.JPEG 75,26,306,238,7
train/n01728920/n01728920_7098.JPEG 1,93,272,374,21
train/n01753488/n01753488_20639.JPEG 163,83,499,183,24
train/n02422106/n02422106_1093.JPEG 6,3,257,216,77
train/n02422106/n02422106_1775.JPEG 121,1,413,376,77
train/n02422106/n02422106_5189.JPEG 68,255,145,351,77
train/n02443484/n02443484_11638.JPEG 238,162,419,293,82
train/n01735189/n01735189_10663.JPEG 1,148,267,228,22
train/n01735189/n01735189_9544.JPEG 54,1,499,327,22
train/n02120505/n02120505_3459.JPEG 158,29,497,303,57
train/n02120505/n02120505_5438.JPEG 64,101,292,330,57
train/n02492035/n02492035_964.JPEG 35,41,228,431,92
train/n02492035/n02492035_4626.JPEG 216,84,409,230,92
val_original/ILSVRC2012_val_00045600.JPEG 12,32,499,332,92
train/n02066245/n02066245_8983.JPEG 280,60,428,185,47
train/n02066245/n02066245_17506.JPEG 107,16,409,138,47
train/n02066245/n02066245_7517.JPEG 17,33,273,206,47
train/n02111129/n02111129_6149.JPEG 241,92,499,331,51
train/n01695060/n01695060_41637.JPEG 1,138,490,265,17
train/n01695060/n01695060_16811.JPEG 1,77,346,283,17
train/n01873310/n01873310_6415.JPEG 95,359,415,408,36
train/n02051845/n02051845_8202.JPEG 106,55,403,468,46
train/n02051845/n02051845_2954.JPEG 1,1,497,440,46
train/n02051845/n02051845_29758.JPEG 123,3,498,336,46
train/n01665541/n01665541_15878.JPEG 3,1,144,130,13
train/n02408429/n02408429_11245.JPEG 200,90,478,297,75
train/n02408429/n02408429_1816.JPEG 136,357,226,418,75
train/n02408429/n02408429_1424.JPEG 173,83,371,223,75
train/n01740131/n01740131_1100.JPEG 200,115,317,331,23
train/n01883070/n01883070_300.JPEG 71,136,225,219,38 250,159,329,211,38
train/n01883070/n01883070_1158.JPEG 107,182,306,360,38
train/n02128757/n02128757_20335.JPEG 1,55,499,332,61
train/n02492035/n02492035_15266.JPEG 223,81,359,332,92
train/n02492035/n02492035_2038.JPEG 187,119,440,332,92
train/n01592084/n01592084_4593.JPEG 136,65,365,329,7
train/n01592084/n01592084_547.JPEG 180,100,472,240,7
train/n01601694/n01601694_12172.JPEG 72,104,250,421,8
train/n01601694/n01601694_9851.JPEG 43,88,315,262,8
train/n02123159/n02123159_5716.JPEG 229,1,499,356,58
train/n02123159/n02123159_7716.JPEG 77,52,293,475,58
train/n01871265/n01871265_4516.JPEG 135,29,303,319,35
train/n01440764/n01440764_3614.JPEG 108,212,327,318,0
train/n01440764/n01440764_7304.JPEG 105,384,949,737,0
val_original/ILSVRC2012_val_00015140.JPEG 132,234,525,355,96
train/n02514041/n02514041_1267.JPEG 86,231,408,319,96
train/n01756291/n01756291_6474.JPEG 76,29,490,270,25
train/n01592084/n01592084_6478.JPEG 68,157,303,312,7
train/n01592084/n01592084_6725.JPEG 139,46,369,414,7
val_original/ILSVRC2012_val_00036534.JPEG 83,106,362,476,7
train/n01601694/n01601694_7231.JPEG 127,177,256,269,8
val_original/ILSVRC2012_val_00013223.JPEG 130,83,432,365,8
train/n01601694/n01601694_9844.JPEG 170,80,340,236,8
train/n02051845/n02051845_6654.JPEG 198,9,439,332,46
train/n02051845/n02051845_1444.JPEG 19,15,447,317,46
val_original/ILSVRC2012_val_00032086.JPEG 0,63,499,374,21
train/n01728920/n01728920_4878.JPEG 116,150,346,284,21
train/n01440764/n01440764_10548.JPEG 114,125,444,267,0
train/n01440764/n01440764_2546.JPEG 90,146,477,374,0
train/n01873310/n01873310_6929.JPEG 61,190,387,269,36
train/n01694178/n01694178_5118.JPEG 67,31,184,167,16
val_original/ILSVRC2012_val_00018252.JPEG 111,65,444,374,77
train/n02422106/n02422106_1482.JPEG 24,58,250,310,77 311,76,404,318,77
train/n02051845/n02051845_11240.JPEG 130,57,346,294,46
train/n02051845/n02051845_7137.JPEG 207,72,358,255,46
train/n02514041/n02514041_6367.JPEG 110,127,395,330,96
train/n02514041/n02514041_2025.JPEG 61,114,405,187,96
train/n01558993/n01558993_3914.JPEG 65,19,465,329,4
train/n01558993/n01558993_1308.JPEG 22,152,361,413,4
train/n02488291/n02488291_1970.JPEG 1,1,61,70,88
train/n01632458/n01632458_5608.JPEG 90,48,331,351,10
train/n02526121/n02526121_9285.JPEG 56,150,305,413,97
train/n02526121/n02526121_8713.JPEG 74,41,395,361,97
train/n02443484/n02443484_3558.JPEG 105,35,350,303,82
train/n02443484/n02443484_3213.JPEG 140,53,336,173,82
train/n01440764/n01440764_1478.JPEG 65,238,329,367,0
train/n01440764/n01440764_107.JPEG 3,19,67,50,0
train/n02006656/n02006656_2871.JPEG 47,196,217,284,39
train/n02006656/n02006656_9165.JPEG 159,99,395,344,39
train/n02066245/n02066245_7349.JPEG 43,214,264,276,47
train/n01601694/n01601694_2016.JPEG 20,119,276,335,8
val_original/ILSVRC2012_val_00005576.JPEG 131,180,319,360,8
val_original/ILSVRC2012_val_00015922.JPEG 166,207,278,293,8
train/n01601694/n01601694_12351.JPEG 200,114,353,261,8
val_original/ILSVRC2012_val_00020349.JPEG 84,139,320,284,8
train/n01740131/n01740131_3589.JPEG 74,59,499,244,23
train/n02129165/n02129165_22131.JPEG 116,67,331,245,63
train/n02129165/n02129165_11498.JPEG 57,15,471,401,63
train/n01695060/n01695060_2199.JPEG 45,92,424,255,17
train/n01695060/n01695060_26420.JPEG 2,102,359,374,17
train/n02410509/n02410509_910.JPEG 15,34,409,324,76
train/n01694178/n01694178_2474.JPEG 1,1,199,140,16
train/n01694178/n01694178_8634.JPEG 1,4,464,312,16
train/n02643566/n02643566_1720.JPEG 20,79,436,374,99
train/n02006656/n02006656_5914.JPEG 7,31,400,365,39
train/n01873310/n01873310_12066.JPEG 123,148,336,253,36
val_original/ILSVRC2012_val_00038766.JPEG 154,78,382,398,31
